algo,variant,n_series,MAE_mean,RMSE_mean,MAPE_mean,sMAPE_mean,MAE_wmean,RMSE_wmean,MAPE_wmean,sMAPE_wmean,is_best
sarimax,baseline,20,1.6417335060594236,2.118356473835215,68.06610577776964,97.91203766185808,1.7585562822489507,2.2963479293446056,71.34560809139913,93.83697201505173,False
sarimax,gt,20,1.595297214439522,2.0017637158110304,67.14533681216365,97.05072819298724,1.6883142700921214,2.12588828035178,70.04123294823,93.12994166008359,False
rf,baseline,20,1.4066451630672394,1.7631679515124312,54.72148801483748,83.8816886392025,1.4656964385850522,1.8471251374117126,56.45941880297723,79.1536470186608,False
rf,gt,20,1.3995238097084044,1.7467587832334863,55.00336435744,83.94965849167123,1.4552238975461742,1.8259579192020892,56.59284225689486,79.07900107992754,True
lstm,baseline,20,1.5724783155160982,1.8968382151191314,65.91619929461865,85.58119484153644,1.6203077077479646,1.9628703761076458,67.26637709894446,80.849512374344,False
lstm,gt,20,1.5400386179621155,1.8698902649407532,65.71650814807138,84.12296299154973,1.596184397011425,1.9438546663898102,67.93281238934331,79.33889885743402,False
