algo,variant,store,brand,MAE,RMSE,MAPE,sMAPE,MASE,n,n_nonzero,volume
sarimax,baseline,Toko_A,OPPO,1.6891410316775641,1.9469589861463732,86.48378948547294,77.34525474149216,0.8116651710658425,37,33,92.0
sarimax,baseline,Toko_A,Realme,2.107616398405151,2.550863162099465,80.95241865773272,72.298550537624,0.9747725842623822,37,34,113.0
sarimax,baseline,Toko_A,Samsung,1.3808912190796192,1.753474383194863,56.14451561407336,73.09642438544488,0.6812396680792787,37,29,78.0
sarimax,baseline,Toko_A,Vivo,1.2543194085265754,1.7002520414253162,47.65987295224486,98.29023100910483,0.713997201776666,37,27,68.0
sarimax,baseline,Toko_A,Xiaomi,2.332163728760498,3.0977286990732185,67.69193963832551,74.45541382214407,0.880510795552433,37,33,129.0
sarimax,baseline,Toko_B,OPPO,1.877455874047623,2.455062987121054,94.74162950732881,80.70119399202412,1.0067517005762616,37,33,87.0
sarimax,baseline,Toko_B,Realme,2.8224507116363258,4.520696895954203,95.58323950935474,72.554410127956,1.1733783857364501,37,33,121.0
sarimax,baseline,Toko_B,Samsung,1.7336494149372945,2.074184504798477,98.59927439881393,79.45618435478448,1.1454469348692837,37,32,75.0
sarimax,baseline,Toko_B,Vivo,1.4175596208811798,1.7288718324306753,72.10503291774396,108.17043822423531,0.9896170938227105,37,29,64.0
sarimax,baseline,Toko_B,Xiaomi,2.214914514289653,2.7661005050885747,77.95382209337764,152.28765124740295,0.9529283375432228,37,31,94.0
sarimax,baseline,Toko_C,OPPO,1.6684846133291757,2.029273589814752,42.667279972684554,105.39309429066257,0.8946946477272392,37,23,63.0
sarimax,baseline,Toko_C,Realme,1.494069913154677,1.9582917891747729,68.89009156305234,70.66542215252215,0.6910073348340381,37,33,91.0
sarimax,baseline,Toko_C,Samsung,1.3521466424976318,1.689370199232226,59.89234976311393,86.82699088137163,0.7696834734217288,37,29,67.0
sarimax,baseline,Toko_C,Vivo,1.4157067329487258,1.7952088837206688,62.9946208406405,134.5632089120692,0.8730191519850475,37,19,41.0
sarimax,baseline,Toko_C,Xiaomi,1.6580542316447415,2.1247938945403524,90.01501628319754,149.05169406858056,1.1154183012882808,37,29,68.0
sarimax,baseline,Toko_D,OPPO,1.205428452284462,1.5114510117099602,49.58985653921132,97.74750432615573,0.8577087064331749,37,27,54.0
sarimax,baseline,Toko_D,Realme,1.5134832526495168,1.8892205372876065,62.66777260984625,85.05113998975948,0.835804184298987,37,30,76.0
sarimax,baseline,Toko_D,Samsung,1.0181956744332528,1.18004972359724,40.04853811385484,114.59626979415248,0.8969819036673894,37,20,33.0
sarimax,baseline,Toko_D,Vivo,1.2844993333557808,1.7594877510932148,45.99327291318707,107.92766503935836,0.6693869765375196,37,23,58.0
sarimax,baseline,Toko_D,Xiaomi,1.394439352649024,1.8357880992012716,60.64778218213603,117.76201134031675,0.7477428412755636,37,27,64.0
sarimax,gt,Toko_A,OPPO,1.6747416071311003,1.9340719346338167,84.85967611133971,77.26299710827762,0.8047459670629963,37,33,92.0
sarimax,gt,Toko_A,Realme,2.478015316063969,2.942470812081701,113.81368242000835,79.69293951162354,1.1460820836795855,37,34,113.0
sarimax,gt,Toko_A,Samsung,1.3914848569145382,1.7620077131167184,57.31257655455941,73.30484671194442,0.6864658627445054,37,29,78.0
sarimax,gt,Toko_A,Vivo,1.372873643347431,1.7433494772277587,54.990336605741106,93.57532988533748,0.7814819200593068,37,27,68.0
