row_type,algo,store,brand,MAPE_baseline,MAPE_gt,delta_MAPE_pct,MAE_baseline,MAE_gt,delta_MAE,dm_stat,dm_p,verdict,n_membaik,n_memburuk,n_tak_signifikan
deret,SARIMAX,Toko_A,OPPO,86.48378948547294,84.85967611133971,-1.6241133741332305,1.6891410316775641,1.6747416071311003,-0.014399424546463813,1.1110981379373628,0.2738920233751533,tak signifikan,,,
deret,SARIMAX,Toko_A,Realme,80.95241865773272,113.81368242000835,32.86126376227563,2.107616398405151,2.478015316063969,0.37039891765881805,-1.1990215077097137,0.2383525627008703,tak signifikan,,,
deret,SARIMAX,Toko_A,Samsung,56.14451561407336,57.31257655455941,1.1680609404860505,1.3808912190796192,1.3914848569145382,0.010593637834918956,-1.297246247112525,0.2027986871760229,tak signifikan,,,
deret,SARIMAX,Toko_A,Vivo,47.65987295224486,54.990336605741106,7.3304636534962455,1.2543194085265754,1.372873643347431,0.11855423482085548,-0.4638458463783506,0.6455507846970087,tak signifikan,,,
deret,SARIMAX,Toko_A,Xiaomi,67.69193963832551,65.91133624780497,-1.7806033905205396,2.332163728760498,2.31865060359168,-0.013513125168818085,0.9059725070117957,0.3709744224262752,tak signifikan,,,
deret,SARIMAX,Toko_B,OPPO,94.74162950732881,84.04401058111291,-10.697618926215895,1.877455874047623,1.5247798079742767,-0.35267606607334634,1.6077574612427552,0.11662476659267396,tak signifikan,,,
deret,SARIMAX,Toko_B,Realme,95.58323950935474,48.759196335928685,-46.824043173426055,2.8224507116363258,1.6479588026763579,-1.174491908959968,1.7364626800580372,0.091033884294416,tak signifikan,,,
deret,SARIMAX,Toko_B,Samsung,98.59927439881393,103.9529262627585,5.353651863944563,1.7336494149372945,1.8181531939044189,0.08450377896712435,-4.835612514797263,2.480264513760868e-05,memburuk (signifikan),,,
deret,SARIMAX,Toko_B,Vivo,72.10503291774396,73.38780810614718,1.282775188403221,1.4175596208811798,1.4339866429958603,0.0164270221146805,-0.3474754622969461,0.7302575321513031,tak signifikan,,,
deret,SARIMAX,Toko_B,Xiaomi,77.95382209337764,82.31280042921773,4.358978335840092,2.214914514289653,2.2671672901198883,0.052252775830235354,-1.8603627761705492,0.07101890669172141,tak signifikan,,,
deret,SARIMAX,Toko_C,OPPO,42.667279972684554,47.84045071081249,5.173170738127936,1.6684846133291757,1.783127537548513,0.1146429242193372,-2.354389888928536,0.024127468633209907,memburuk (signifikan),,,
deret,SARIMAX,Toko_C,Realme,68.89009156305234,68.68094802478227,-0.20914353827006948,1.494069913154677,1.5180517107971652,0.02398179764248809,0.014398743872270988,0.9885913646716741,tak signifikan,,,
deret,SARIMAX,Toko_C,Samsung,59.89234976311393,64.56326668389077,4.670916920776847,1.3521466424976318,1.409839777372634,0.05769313487500227,-1.8758181451453846,0.06880761252879637,tak signifikan,,,
deret,SARIMAX,Toko_C,Vivo,62.9946208406405,43.35643767143956,-19.638183169200943,1.4157067329487258,1.2431321480449393,-0.17257458490378652,1.6337819032160452,0.11102125272356855,tak signifikan,,,
deret,SARIMAX,Toko_C,Xiaomi,90.01501628319754,89.45440226225102,-0.5606140209465167,1.6580542316447415,1.6731670180993568,0.015112786454615224,-0.7087074005538773,0.4830704294844895,tak signifikan,,,
deret,SARIMAX,Toko_D,OPPO,49.58985653921132,49.42953303406752,-0.16032350514380056,1.205428452284462,1.2031151031528686,-0.002313349131593423,0.21322955708294516,0.8323508737274774,tak signifikan,,,
deret,SARIMAX,Toko_D,Realme,62.66777260984625,60.86098352257393,-1.8067890872723211,1.5134832526495168,1.4905670967028937,-0.022916155946623107,0.10836661933584767,0.9143066331094691,tak signifikan,,,
deret,SARIMAX,Toko_D,Samsung,40.04853811385484,40.59334617045403,0.5448080565991944,1.0181956744332528,0.9420843215911524,-0.07611135284210035,2.7259802515191813,0.009838887755606568,membaik (signifikan),,,
deret,SARIMAX,Toko_D,Vivo,45.99327291318707,47.64380343710714,1.650530523920068,1.2844993333557808,1.3222584828484183,0.03775914949263748,-0.7231544362723049,0.4742575833251964,tak signifikan,,,
deret,SARIMAX,Toko_D,Xiaomi,60.64778218213603,61.139215071275586,0.49143288913955985,1.394439352649024,1.3927893279129813,-0.001650024736042699,-0.5848248540681327,0.562313235635074,tak signifikan,,,
deret,RF,Toko_A,OPPO,105.45540764790763,107.5793419448817,2.1239342969740704,1.8679940476190475,1.8756821399321402,0.007688092313092643,-0.647589233800448,0.5213593627086187,tak signifikan,,,
deret,RF,Toko_A,Realme,64.32664912479228,63.50255602240896,-0.8240931023833227,1.5093928441722562,1.500135135135135,-0.009257709037121087,0.8892942935298158,0.37974908797402,tak signifikan,,,
deret,RF,Toko_A,Samsung,93.97320624139589,79.95589598779253,-14.017310253603355,1.9457604666354662,1.7347496392496393,-0.21101082738582688,3.826805841096401,0.0004981516676061769,membaik (signifikan),,,
deret,RF,Toko_A,Vivo,42.67488296418389,43.619626925592534,0.9447439614086477,1.3061700134623084,1.329710637260637,0.023540623798328664,-1.4561655458652183,0.15401353775482748,tak signifikan,,,
deret,RF,Toko_A,Xiaomi,51.621717142565615,52.42483163930207,0.8031144967364554,1.8272397488397487,1.8337568883818882,0.006517139542139505,0.2005887894983111,0.8421490713806482,tak signifikan,,,
deret,RF,Toko_B,OPPO,59.66195646101213,55.657951850529265,-4.004004610482866,1.3016210945470161,1.2634672155101856,-0.03815387903683054,0.9162574837219136,0.3656292270460831,tak signifikan,,,
deret,RF,Toko_B,Realme,44.930832195251845,44.74861471861472,-0.18221747663712762,1.72530206992707,1.6532972972972977,-0.07200477262977234,1.8969071855423167,0.06588556354085529,tak signifikan,,,
deret,RF,Toko_B,Samsung,68.15992606974923,77.55823472447693,9.3983086547277,1.274129694882552,1.3773990795990798,0.1032693847165278,-2.5652436069590374,0.014622483319088721,memburuk (signifikan),,,
deret,RF,Toko_B,Vivo,48.59993558088148,50.52722530103995,1.9272897201584698,1.1989015050889058,1.1955313706563706,-0.003370134432535199,1.2440927643926185,0.2215051595902859,tak signifikan,,,
deret,RF,Toko_B,Xiaomi,48.06336220305977,46.10194659989661,-1.9614156031631609,1.5520406039156036,1.545560391742929,-0.006480212172674582,-0.29669772237304126,0.7684024049781983,tak signifikan,,,
deret,RF,Toko_C,OPPO,37.435099616506044,37.76123546083697,0.3261358443309277,1.4246753817697755,1.414406899154171,-0.010268482615604535,0.37963549079811293,0.7064463823034557,tak signifikan,,,
deret,RF,Toko_C,Realme,50.41414141414141,55.56262626262626,5.148484848484848,1.4166216216216216,1.436108108108108,0.01948648648648632,0.9239466049854624,0.3616660107173581,tak signifikan,,,
deret,RF,Toko_C,Samsung,56.84437712317434,55.967314793750376,-0.8770623294239641,1.2016768919492504,1.1928533180143237,-0.00882357393492672,-0.2770942388335326,0.7832926732360999,tak signifikan,,,
deret,RF,Toko_C,Vivo,39.73437459811144,40.724267876517764,0.9898932784063277,1.201491562341562,1.1852020660581797,-0.016289496283382388,2.5047660374434497,0.016919464413237644,membaik (signifikan),,,
deret,RF,Toko_C,Xiaomi,45.431980779379124,45.58996153622879,0.15798075684966761,1.204593023572193,1.2157592685092689,0.011166244937075964,-0.7554024315266938,0.45492182327226016,tak signifikan,,,
deret,RF,Toko_D,OPPO,37.79089996080737,42.06324686458946,4.272346903782086,1.0573569819819821,1.06925990990991,0.011902927927927909,1.4675037782675397,0.15092205827708713,tak signifikan,,,
deret,RF,Toko_D,Realme,61.25687865760783,62.369521053791885,1.1126423961840572,1.478918329043329,1.4892589282457707,0.01034059920244168,-0.7942396046142445,0.43226066723011053,tak signifikan,,,
deret,RF,Toko_D,Samsung,40.045894510582016,42.033255392755365,1.9873608821733484,1.0484063706563709,1.0882575718575715,0.03985120120120067,-1.7968611427368295,0.08075194457391437,tak signifikan,,,
deret,RF,Toko_D,Vivo,45.19018178681222,45.13827998056552,-0.051901806246696935,1.3063796361296363,1.298784158374312,-0.007595477755324209,0.8539815950162725,0.39876225792329545,tak signifikan,,,
deret,RF,Toko_D,Xiaomi,52.81805621882831,51.18135221260219,-1.6367040062261182,1.2842313731890915,1.291296171171171,0.007064797982079485,-0.572613622405338,0.5704655614774038,tak signifikan,,,
deret,LSTM,Toko_A,OPPO,100.49852380848894,124.82842668138368,24.329902872894735,1.805169627473161,1.9963127857929952,0.1911431583198342,-2.3477051735461147,0.02450452759744597,memburuk (signifikan),,,
deret,LSTM,Toko_A,Realme,68.14083284690602,69.0324858824412,0.8916530355351711,1.6415830109570477,1.6511035674327128,0.009520556475665076,-0.10248212688175522,0.9189427330863018,tak signifikan,,,
deret,LSTM,Toko_A,Samsung,73.25537578812961,74.66924718056602,1.4138713924364055,1.6319455005027153,1.6380797270182017,0.006134226515486452,-0.773255864077004,0.4444189141603351,tak signifikan,,,
deret,LSTM,Toko_A,Vivo,57.80780923009128,48.577065442605,-9.230743787486283,1.4834444200670398,1.3605277473862107,-0.12291667268082906,1.78624141354983,0.08248521909617378,tak signifikan,,,
deret,LSTM,Toko_A,Xiaomi,60.17390769031219,66.52937487747104,6.355467187158851,2.0589218204085893,2.047657058045671,-0.01126476236291829,0.5728002033986008,0.5703405579877396,tak signifikan,,,
deret,LSTM,Toko_B,OPPO,115.11422080739062,92.35625222475842,-22.757968582632202,1.965087890625,1.6507428272350415,-0.3143450633899585,4.038697381506595,0.00026924335182798597,membaik (signifikan),,,
deret,LSTM,Toko_B,Realme,56.46380224699238,65.92139945487783,9.457597207885449,1.7383667069512445,1.7849985135568154,0.04663180660557087,-0.21810294519849807,0.8285805268782134,tak signifikan,,,
deret,LSTM,Toko_B,Samsung,108.74350773791473,105.37448056042193,-3.3690271774927965,1.9266769692704484,1.858789012238786,-0.0678879570316624,1.6729288020032393,0.10301107002805358,tak signifikan,,,
