algo,variant,safety_stock_mean,holding_unit_weeks,holding_cost_total,stockout_weeks,shortage_units,fill_rate,service_level_ach
SARIMAX,gt,4.352635280612626,4781.198575169297,95.62397150338595,13,6.624233757977238,0.995687347813817,0.9824324324324324
RF,gt,3.967087491051017,4504.2771983402445,90.08554396680489,13,10.816227481246166,0.9929581852335637,0.9824324324324324
LSTM,gt,4.0234233610871435,4544.779236747245,90.8955847349449,13,10.222974771379347,0.9933444174665499,0.9824324324324324
