week_start,brand,gt_index
2021-12-27,Xiaomi,91.09947643979058
2022-01-03,Xiaomi,93.19371727748691
2022-01-10,Xiaomi,81.15183246073299
2022-01-17,Xiaomi,72.25130890052355
2022-01-24,Xiaomi,76.43979057591623
2022-01-31,Xiaomi,82.72251308900523
2022-02-07,Xiaomi,75.91623036649214
2022-02-14,Xiaomi,73.29842931937172
2022-02-21,Xiaomi,80.10471204188482
2022-02-28,Xiaomi,82.72251308900523
2022-03-07,Xiaomi,72.25130890052355
2022-03-14,Xiaomi,75.91623036649214
2022-03-21,Xiaomi,80.10471204188482
2022-03-28,Xiaomi,80.10471204188482
2022-04-04,Xiaomi,76.96335078534031
2022-04-11,Xiaomi,81.67539267015707
2022-04-18,Xiaomi,79.05759162303664
2022-04-25,Xiaomi,91.62303664921467
2022-05-02,Xiaomi,100.0
2022-05-09,Xiaomi,85.34031413612566
2022-05-16,Xiaomi,69.63350785340315
2022-05-23,Xiaomi,68.06282722513089
2022-05-30,Xiaomi,69.10994764397905
2022-06-06,Xiaomi,67.01570680628272
2022-06-13,Xiaomi,66.49214659685863
2022-06-20,Xiaomi,68.06282722513089
2022-06-27,Xiaomi,70.68062827225131
2022-07-04,Xiaomi,70.68062827225131
2022-07-11,Xiaomi,63.35078534031413
2022-07-18,Xiaomi,59.68586387434554
2022-07-25,Xiaomi,61.78010471204188
2022-08-01,Xiaomi,58.1151832460733
2022-08-08,Xiaomi,56.54450261780105
2022-08-15,Xiaomi,61.25654450261781
2022-08-22,Xiaomi,56.54450261780105
2022-08-29,Xiaomi,54.973821989528794
2022-09-05,Xiaomi,57.59162303664922
2022-09-12,Xiaomi,53.92670157068062
2022-09-19,Xiaomi,54.973821989528794
2022-09-26,Xiaomi,51.832460732984295
2022-10-03,Xiaomi,53.92670157068062
2022-10-10,Xiaomi,56.02094240837696
2022-10-17,Xiaomi,53.403141361256544
2022-10-24,Xiaomi,54.45026178010471
2022-10-31,Xiaomi,55.497382198952884
2022-11-07,Xiaomi,57.59162303664922
2022-11-14,Xiaomi,56.02094240837696
2022-11-21,Xiaomi,50.78534031413613
2022-11-28,Xiaomi,49.21465968586388
2022-12-05,Xiaomi,47.64397905759162
2022-12-12,Xiaomi,53.92670157068062
2022-12-19,Xiaomi,57.06806282722513
2022-12-26,Xiaomi,60.73298429319372
2023-01-02,Xiaomi,60.73298429319372
2023-01-09,Xiaomi,53.403141361256544
2023-01-16,Xiaomi,51.30890052356021
2023-01-23,Xiaomi,52.879581151832454
2023-01-30,Xiaomi,51.30890052356021
2023-02-06,Xiaomi,49.21465968586388
2023-02-13,Xiaomi,49.21465968586388
2023-02-20,Xiaomi,47.64397905759162
2023-02-27,Xiaomi,49.73821989528796
2023-03-06,Xiaomi,51.832460732984295
2023-03-13,Xiaomi,46.596858638743456
2023-03-20,Xiaomi,50.78534031413613
2023-03-27,Xiaomi,50.78534031413613
2023-04-03,Xiaomi,51.832460732984295
2023-04-10,Xiaomi,50.78534031413613
2023-04-17,Xiaomi,53.403141361256544
2023-04-24,Xiaomi,61.78010471204188
2023-05-01,Xiaomi,56.02094240837696
2023-05-08,Xiaomi,48.167539267015705
2023-05-15,Xiaomi,46.596858638743456
2023-05-22,Xiaomi,50.26178010471204
2023-05-29,Xiaomi,49.21465968586388
2023-06-05,Xiaomi,48.167539267015705
2023-06-12,Xiaomi,45.54973821989529
2023-06-19,Xiaomi,46.596858638743456
2023-06-26,Xiaomi,49.73821989528796
2023-07-03,Xiaomi,47.64397905759162
2023-07-10,Xiaomi,46.596858638743456
2023-07-17,Xiaomi,42.93193717277487
2023-07-24,Xiaomi,41.8848167539267
2023-07-31,Xiaomi,48.167539267015705
2023-08-07,Xiaomi,45.54973821989529
2023-08-14,Xiaomi,45.0261780104712
2023-08-21,Xiaomi,41.8848167539267
2023-08-28,Xiaomi,44.50261780104712
2023-09-04,Xiaomi,43.455497382198956
2023-09-11,Xiaomi,42.40837696335078
2023-09-18,Xiaomi,42.93193717277487
2023-09-25,Xiaomi,45.54973821989529
2023-10-02,Xiaomi,43.97905759162304
2023-10-09,Xiaomi,43.455497382198956
2023-10-16,Xiaomi,41.361256544502616
2023-10-23,Xiaomi,42.40837696335078
2023-10-30,Xiaomi,41.361256544502616
2023-11-06,Xiaomi,41.361256544502616
2023-11-13,Xiaomi,40.83769633507853
2023-11-20,Xiaomi,42.40837696335078
2023-11-27,Xiaomi,41.8848167539267
2023-12-04,Xiaomi,42.93193717277487
2023-12-11,Xiaomi,47.64397905759162
2023-12-18,Xiaomi,47.64397905759162
2023-12-25,Xiaomi,48.69109947643979
2024-01-01,Xiaomi,49.73821989528796
2024-01-08,Xiaomi,48.167539267015705
2024-01-15,Xiaomi,44.50261780104712
2024-01-22,Xiaomi,45.0261780104712
2024-01-29,Xiaomi,42.93193717277487
2024-02-05,Xiaomi,44.50261780104712
2024-02-12,Xiaomi,39.79057591623037
2024-02-19,Xiaomi,40.83769633507853
2024-02-26,Xiaomi,43.455497382198956
2024-03-04,Xiaomi,41.361256544502616
2024-03-11,Xiaomi,38.21989528795812
2024-03-18,Xiaomi,37.17277486910995
2024-03-25,Xiaomi,39.79057591623037
2024-04-01,Xiaomi,38.7434554973822
2024-04-08,Xiaomi,42.93193717277487
2024-04-15,Xiaomi,46.07329842931937
2024-04-22,Xiaomi,37.696335078534034
2024-04-29,Xiaomi,36.12565445026178
2024-05-06,Xiaomi,36.64921465968586
2024-05-13,Xiaomi,32.460732984293195
2024-05-20,Xiaomi,34.55497382198953
2024-05-27,Xiaomi,31.93717277486911
2024-06-03,Xiaomi,34.031413612565444
2024-06-10,Xiaomi,32.98429319371728
2024-06-17,Xiaomi,32.460732984293195
2024-06-24,Xiaomi,35.602094240837694
2024-07-01,Xiaomi,34.55497382198953
2024-07-08,Xiaomi,35.602094240837694
2024-07-15,Xiaomi,30.89005235602094
2024-07-22,Xiaomi,31.413612565445025
2024-07-29,Xiaomi,31.413612565445025
2024-08-05,Xiaomi,29.31937172774869
2024-08-12,Xiaomi,28.79581151832461
2024-08-19,Xiaomi,28.79581151832461
2024-08-26,Xiaomi,28.272251308900525
2024-09-02,Xiaomi,27.225130890052355
2024-09-09,Xiaomi,29.31937172774869
2024-09-16,Xiaomi,30.89005235602094
2024-09-23,Xiaomi,29.84293193717277
2024-09-30,Xiaomi,31.413612565445025
2024-10-07,Xiaomi,31.93717277486911
2024-10-14,Xiaomi,28.79581151832461
2024-10-21,Xiaomi,30.89005235602094
2024-10-28,Xiaomi,30.89005235602094
2024-11-04,Xiaomi,30.36649214659686
2024-11-11,Xiaomi,31.413612565445025
2024-11-18,Xiaomi,30.36649214659686
2024-11-25,Xiaomi,31.93717277486911
2024-12-02,Xiaomi,30.36649214659686
2024-12-09,Xiaomi,30.89005235602094
2024-12-16,Xiaomi,31.413612565445025
2024-12-23,Xiaomi,35.602094240837694
2024-12-30,Xiaomi,34.031413612565444
2025-01-06,Xiaomi,31.413612565445025
2025-01-13,Xiaomi,29.84293193717277
2025-01-20,Xiaomi,29.84293193717277
2025-01-27,Xiaomi,32.98429319371728
2025-02-03,Xiaomi,29.31937172774869
2025-02-10,Xiaomi,27.748691099476442
2025-02-17,Xiaomi,26.17801047120419
2025-02-24,Xiaomi,27.748691099476442
2025-03-03,Xiaomi,28.272251308900525
2025-03-10,Xiaomi,27.748691099476442
2025-03-17,Xiaomi,30.36649214659686
2025-03-24,Xiaomi,31.93717277486911
2025-03-31,Xiaomi,36.64921465968586
2025-04-07,Xiaomi,32.460732984293195
2025-04-14,Xiaomi,30.36649214659686
2025-04-21,Xiaomi,29.31937172774869
2025-04-28,Xiaomi,27.748691099476442
2025-05-05,Xiaomi,27.748691099476442
2025-05-12,Xiaomi,28.272251308900525
2025-05-19,Xiaomi,25.13089005235602
2025-05-26,Xiaomi,29.84293193717277
2025-06-02,Xiaomi,25.13089005235602
2025-06-09,Xiaomi,25.654450261780106
2025-06-16,Xiaomi,25.654450261780106
2025-06-23,Xiaomi,28.272251308900525
2025-06-30,Xiaomi,26.701570680628272
2021-12-27,OPPO,86.0
2022-01-03,OPPO,83.0
2022-01-10,OPPO,74.0
2022-01-17,OPPO,65.0
2022-01-24,OPPO,68.0
2022-01-31,OPPO,72.0
2022-02-07,OPPO,61.0
2022-02-14,OPPO,65.0
2022-02-21,OPPO,67.0
2022-02-28,OPPO,76.0
2022-03-07,OPPO,69.0
2022-03-14,OPPO,67.0
2022-03-21,OPPO,73.0
2022-03-28,OPPO,72.0
2022-04-04,OPPO,75.0
2022-04-11,OPPO,75.0
2022-04-18,OPPO,78.0
2022-04-25,OPPO,86.0
2022-05-02,OPPO,100.0
